3.461,1.334,3.030,0.854,104.065,-19.592
-0.009,-0.072,0.561,36.743,73.853,-9.644
0.455,-0.422,0.285,28.320,23.132,-7.263
0.798,-0.687,0.760,-34.424,-18.921,34.119
1.078,0.516,1.160,-42.664,-11.658,23.193
0.365,0.131,0.592,1.343,-15.503,2.991
0.414,0.057,0.959,19.531,0.427,-4.211
0.616,-0.276,0.919,22.827,13.794,-5.432
--- Inicio de captura ---
-0.057,0.810,0.392,-11.719,24.231,-8.240
-0.005,0.962,0.418,0.000,21.545,-10.193
0.079,1.004,0.285,6.836,25.269,-14.465
0.093,0.976,0.194,33.203,20.081,-9.827
-0.043,1.039,0.209,33.142,25.574,2.380
0.033,0.926,0.275,3.235,17.944,5.310
0.111,0.881,0.245,-10.681,11.414,6.104
0.099,0.917,0.299,-9.583,6.348,1.709
0.135,0.910,0.305,-1.343,4.089,-0.916
0.107,0.887,0.277,10.681,0.244,0.427
0.036,0.860,0.262,14.526,-3.540,5.005
0.003,0.861,0.262,13.000,-6.104,8.972
0.034,1.009,0.407,22.949,-10.620,11.963
0.026,0.923,0.226,-0.122,-16.357,6.226
-0.062,0.830,0.257,24.841,-27.954,1.709
-0.182,1.095,0.364,37.842,-13.855,-0.549
-0.115,0.947,0.305,54.138,-5.127,-0.610
-0.081,0.827,0.411,52.917,-1.831,-2.991
-0.034,0.764,0.388,49.988,-3.845,-9.888
-0.075,0.694,0.386,58.533,-5.005,-14.404
0.066,0.920,0.674,66.711,-15.991,-19.714
-0.019,0.694,0.715,69.641,-1.587,-11.475
0.045,0.566,0.641,61.157,-0.732,-3.235
0.143,0.575,0.735,44.312,-6.775,-2.502
-0.014,0.552,0.893,41.443,-8.667,-4.089
0.017,0.479,0.855,36.255,1.099,-6.226
0.092,0.516,0.773,23.376,-12.756,-4.761
-0.014,0.287,0.638,19.226,-3.418,-1.770
-0.156,0.052,0.230,30.457,15.320,2.808
-0.011,-0.029,0.052,27.100,16.968,1.221
-0.002,-0.012,0.041,23.926,20.203,1.770
0.007,-0.009,0.059,22.949,18.921,1.587
0.021,-0.003,0.093,22.400,15.991,1.343
0.032,-0.041,0.181,22.705,11.780,0.916
-0.349,-3.310,4.000,-657.227,66.406,78.552
-1.928,-0.567,-3.999,-55.298,108.459,77.759
-0.009,0.197,-0.043,99.792,-53.528,20.142
0.084,-0.035,0.114,86.182,-9.949,30.029
0.244,0.148,1.919,33.997,29.419,47.729
0.272,-0.162,0.892,-59.998,30.029,46.326
--- Inicio de captura ---
-0.044,0.964,0.155,2.136,-1.526,4.333
-0.053,0.962,0.142,3.418,-2.991,3.357
-0.037,0.974,0.142,4.395,-3.052,1.953
-0.032,0.959,0.149,4.333,-3.235,1.343
-0.041,0.960,0.155,3.723,-1.892,0.427
-0.043,0.954,0.156,4.517,0.732,1.160
-0.040,0.967,0.147,5.066,2.869,2.747
-0.047,0.968,0.148,5.493,4.150,3.113
-0.060,0.959,0.146,6.104,4.272,3.052
-0.060,0.963,0.146,6.958,3.784,3.174
-0.055,0.962,0.155,9.094,2.441,2.197
-0.059,0.956,0.162,11.047,1.099,1.587
-0.054,0.970,0.154,10.681,1.038,0.488
-0.048,0.938,0.176,14.221,-1.160,0.488
-0.012,0.985,0.117,12.024,-4.517,2.197
-0.045,1.019,-0.018,13.855,-17.700,0.183
-0.092,1.104,0.020,64.819,-6.531,2.625
-0.084,0.978,0.205,81.848,-0.977,2.441
-0.122,0.982,0.186,100.281,13.550,4.578
