ax,ay,az,gx,gy,gz
-0.149,0.977,-0.046,8.179,-33.752,-8.118
-0.093,0.958,-0.067,6.104,-34.546,-11.597
-0.059,0.976,-0.059,11.536,-34.668,-18.188
-0.065,1.037,0.043,-2.930,-19.104,-6.165
-0.076,0.992,-0.091,9.155,-7.874,1.709
0.021,0.898,-0.044,-0.366,-11.169,6.775
0.102,1.008,-0.010,-8.972,-8.789,14.282
0.153,1.014,0.005,-0.122,-12.634,3.540
0.116,0.914,-0.017,-3.601,-15.808,-7.019
0.111,1.025,-0.042,-17.700,-21.606,-3.845
0.096,1.022,-0.013,-15.564,-27.710,3.174
0.144,1.025,-0.008,-2.014,-27.344,1.526
0.149,0.949,-0.070,15.991,-25.696,-5.615
0.031,0.975,-0.072,6.470,-34.119,1.770
0.040,0.919,-0.076,2.930,-34.973,6.775
0.066,0.972,-0.117,0.671,-33.203,8.484
0.072,1.006,-0.110,1.160,-34.119,9.827
0.062,0.954,-0.120,7.446,-34.485,10.437
0.001,0.920,-0.132,3.113,-33.081,10.071
-0.010,0.913,-0.146,-2.075,-28.015,12.878
-0.057,1.162,-0.061,-18.799,-20.691,-12.756
0.066,0.932,0.047,20.691,-4.700,-5.737
0.074,0.875,-0.055,2.563,-17.700,-14.038
0.023,1.160,0.101,-8.057,-28.992,-14.954
-0.085,0.974,-0.043,20.935,-13.123,14.160
-0.031,0.904,-0.033,-1.099,-24.658,5.798
-0.082,1.051,-0.010,10.437,-10.010,-6.104
-0.082,0.995,-0.054,11.353,-0.488,11.292
-0.046,0.933,-0.025,4.517,-8.240,17.700
-0.052,1.007,-0.039,5.066,-6.470,10.803
-0.078,0.976,-0.066,13.489,9.521,1.099
-0.073,0.973,-0.050,9.399,12.207,-2.808
-0.040,0.977,-0.073,13.672,15.625,-1.526
-0.015,0.942,-0.076,11.475,20.081,-5.188
-0.024,0.940,-0.098,8.606,18.494,-12.573
-0.008,0.959,-0.124,13.977,16.663,-15.381
0.053,0.986,0.061,-8.484,18.616,5.859
-0.055,1.004,0.022,-5.432,6.409,23.682
-0.033,0.969,0.056,-16.724,0.061,6.836
-0.044,1.143,0.068,-15.137,7.507,0.732
0.062,0.878,0.058,-2.319,15.564,9.338
0.047,0.876,0.055,-15.198,5.981,0.793
0.130,1.066,-0.097,-27.466,1.465,13.611
0.093,1.086,-0.027,-14.771,-1.831,-1.587
-0.009,1.005,-0.036,20.203,17.578,-5.249
0.010,0.939,-0.135,19.897,12.024,-1.587
0.101,0.923,-0.105,-1.099,2.258,8.850
0.060,0.973,-0.072,6.104,2.747,6.104
0.024,0.984,-0.133,14.587,4.028,4.211
0.022,0.952,-0.121,12.390,2.197,8.850
0.039,0.957,-0.142,4.639,4.150,9.399
0.050,0.949,-0.173,2.136,2.686,7.446
0.059,0.952,-0.171,1.892,2.686,7.080
-0.132,1.225,0.064,-13.123,8.301,-25.085
0.114,0.839,-0.015,38.513,24.719,-13.184
0.048,1.024,0.046,-2.930,-1.587,-13.733
-0.078,1.030,-0.007,-5.188,15.991,7.202
-0.073,0.926,0.005,9.460,13.672,-1.160
-0.017,0.987,0.064,5.615,23.743,-5.798
-0.063,0.986,0.002,17.029,27.039,-14.282
-0.052,1.010,-0.048,8.728,26.978,5.981
-0.058,0.968,-0.002,5.920,38.208,12.939
-0.041,0.967,-0.008,6.775,41.321,6.531
-0.004,0.957,-0.080,12.939,46.692,1.648
0.010,0.976,-0.059,7.874,46.753,2.625
0.028,0.979,-0.080,13.733,47.424,-1.282
0.048,0.974,-0.079,14.832,46.204,-7.507
0.036,0.976,-0.060,15.137,50.842,-9.766
0.063,0.937,-0.109,18.311,43.762,-6.592
0.135,1.035,0.031,-6.897,34.302,22.522
0.009,1.025,0.066,2.380,27.893,24.170
0.011,1.047,0.161,-10.864,28.381,16.846
0.014,1.065,0.137,5.127,27.222,2.075
0.092,0.861,0.055,4.028,31.921,3.723
0.056,0.945,0.040,-14.038,24.658,2.563
0.066,0.979,0.001,-11.719,19.165,6.958
0.091,0.989,-0.042,-11.658,16.113,3.784
0.081,1.009,-0.025,-7.324,16.418,-0.793
0.026,0.961,-0.029,2.319,20.996,-2.197
0.003,0.934,-0.048,4.822,21.362,1.221
0.056,0.963,-0.078,-1.038,20.508,1.709
0.072,1.000,-0.093,-2.075,18.616,0.183
0.063,1.026,-0.065,0.732,16.724,-2.502
0.068,0.988,-0.067,5.554,11.719,-2.319
0.047,0.970,-0.095,3.906,11.108,-1.465
0.036,0.967,-0.090,1.526,12.756,1.038
0.075,0.974,-0.108,2.930,9.521,4.272
0.081,0.963,-0.119,3.662,8.362,4.700
0.061,0.952,-0.115,5.981,8.789,3.052
0.073,0.964,-0.141,8.301,10.254,10.132
0.088,0.917,-0.144,9.399,9.521,12.573
0.103,0.958,-0.171,-3.784,9.338,11.841
-0.043,1.187,0.047,-2.380,9.766,-23.926
0.129,0.872,-0.052,32.532,21.179,-13.672
0.095,0.992,-0.072,6.287,0.732,-20.508
-0.046,1.161,0.094,0.305,26.855,4.211
-0.099,0.870,-0.032,19.104,22.644,26.123
-0.049,0.936,0.026,-7.507,12.817,10.803
-0.014,1.055,0.032,17.212,14.038,-7.202
-0.058,0.992,-0.012,19.043,16.602,-6.775
-0.054,0.989,-0.017,10.742,15.686,8.667
-0.042,0.926,0.015,9.155,18.311,11.780
-0.023,0.965,0.015,3.296,16.602,6.042
-0.011,0.960,-0.014,5.066,17.822,1.465
0.000,0.988,-0.044,5.615,17.212,3.967
-0.010,0.966,-0.021,2.319,18.311,4.272
-0.005,1.003,-0.016,0.366,18.860,1.404
-0.001,1.003,-0.016,7.080,14.832,0.305
-0.014,0.970,-0.035,13.184,14.954,-0.977
0.016,0.971,-0.049,10.803,13.611,-3.052
0.026,0.960,-0.063,14.465,12.207,-4.272
0.050,0.973,-0.067,13.489,10.498,-6.226
0.032,0.961,-0.060,15.869,11.047,-5.615
0.024,0.912,0.033,-6.348,14.587,13.000
-0.039,1.066,0.054,-11.475,2.502,31.799
-0.075,0.994,0.108,-10.742,-1.709,6.409
0.000,1.112,0.065,-2.930,5.615,1.709
0.061,0.833,0.090,-11.536,7.629,2.869
-0.039,0.989,0.092,-24.658,2.319,15.503
-0.018,0.950,0.009,-17.883,2.441,10.681
0.074,1.103,-0.026,-31.799,-6.104,1.160
0.028,1.039,-0.046,7.568,13.306,-5.127
0.008,0.914,-0.109,23.132,13.672,-3.540
0.055,0.892,-0.118,11.108,5.188,1.831
0.111,0.929,-0.137,4.700,1.953,10.437
0.069,0.957,-0.153,1.587,-5.188,9.766
0.045,0.948,-0.160,2.991,-3.418,9.338
0.099,0.894,-0.192,0.793,-5.798,11.597
